
2022/02/24 (13:58:21) | INFO: Quitting! Runtime: 00:02:58

2022/02/24 (13:58:22) | ===> btop++ v.1.2.3
2022/02/24 (13:58:22) | INFO: Logger set to DEBUG
2022/02/24 (13:58:22) | DEBUG: Using locale en_US.UTF-8
2022/02/24 (13:58:22) | INFO: Running on /dev/pts/0
2022/02/24 (13:58:23) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/paradise.theme
2022/02/24 (14:01:08) | INFO: Quitting! Runtime: 00:02:46

2022/02/24 (14:01:10) | ===> btop++ v.1.2.3
2022/02/24 (14:01:10) | INFO: Logger set to DEBUG
2022/02/24 (14:01:10) | DEBUG: Using locale en_US.UTF-8
2022/02/24 (14:01:10) | INFO: Running on /dev/pts/0
2022/02/24 (14:01:10) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/paradise.theme
2022/02/24 (14:02:27) | INFO: Quitting! Runtime: 00:01:17

2022/02/24 (14:02:28) | ===> btop++ v.1.2.3
2022/02/24 (14:02:28) | INFO: Logger set to DEBUG
2022/02/24 (14:02:28) | DEBUG: Using locale en_US.UTF-8
2022/02/24 (14:02:28) | INFO: Running on /dev/pts/0
2022/02/24 (14:02:28) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/paradise.theme
2022/02/24 (14:04:44) | INFO: Quitting! Runtime: 00:02:16

2022/02/24 (14:04:46) | ===> btop++ v.1.2.3
2022/02/24 (14:04:46) | INFO: Logger set to DEBUG
2022/02/24 (14:04:46) | DEBUG: Using locale en_US.UTF-8
2022/02/24 (14:04:46) | INFO: Running on /dev/pts/0
2022/02/24 (14:04:46) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/paradise.theme

2022/02/24 (14:08:36) | ===> btop++ v.1.2.3
2022/02/24 (14:08:36) | INFO: Logger set to DEBUG
2022/02/24 (14:08:36) | DEBUG: Using locale en_US.UTF-8
2022/02/24 (14:08:36) | INFO: Running on /dev/pts/1
2022/02/24 (14:08:47) | INFO: Quitting! Runtime: 00:00:11

2022/02/24 (14:08:58) | ===> btop++ v.1.2.3
2022/02/24 (14:08:58) | INFO: Logger set to DEBUG
2022/02/24 (14:08:58) | DEBUG: Using locale en_US.UTF-8
2022/02/24 (14:08:58) | INFO: Running on /dev/pts/1
2022/02/24 (14:08:58) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme
2022/02/24 (14:21:21) | INFO: Quitting! Runtime: 00:12:23

2022/02/24 (14:21:24) | ===> btop++ v.1.2.3
2022/02/24 (14:21:24) | INFO: Logger set to DEBUG
2022/02/24 (14:21:24) | DEBUG: Using locale en_US.UTF-8
2022/02/24 (14:21:24) | INFO: Running on /dev/pts/1
2022/02/24 (14:21:24) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme

2022/02/24 (15:00:51) | ===> btop++ v.1.2.3
2022/02/24 (15:00:51) | INFO: Logger set to DEBUG
2022/02/24 (15:00:51) | DEBUG: Using locale en_US.UTF-8
2022/02/24 (15:00:51) | INFO: Running on /dev/pts/0
2022/02/24 (15:00:51) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme

2022/02/24 (15:07:56) | ===> btop++ v.1.2.3
2022/02/24 (15:07:56) | INFO: Logger set to DEBUG
2022/02/24 (15:07:56) | DEBUG: Using locale en_US.UTF-8
2022/02/24 (15:07:56) | INFO: Running on /dev/pts/1
2022/02/24 (15:07:56) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme

2022/02/25 (02:39:34) | ===> btop++ v.1.2.3
2022/02/25 (02:39:34) | INFO: Logger set to DEBUG
2022/02/25 (02:39:34) | DEBUG: Using locale en_US.UTF-8
2022/02/25 (02:39:34) | INFO: Running on /dev/pts/0
2022/02/25 (02:39:34) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme

2022/02/25 (02:41:52) | ===> btop++ v.1.2.3
2022/02/25 (02:41:52) | INFO: Logger set to DEBUG
2022/02/25 (02:41:52) | DEBUG: Using locale en_US.UTF-8
2022/02/25 (02:41:52) | INFO: Running on /dev/pts/0
2022/02/25 (02:41:52) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme

2022/02/25 (14:06:49) | ===> btop++ v.1.2.3
2022/02/25 (14:06:49) | INFO: Logger set to DEBUG
2022/02/25 (14:06:49) | DEBUG: Using locale en_US.UTF-8
2022/02/25 (14:06:49) | INFO: Running on /dev/pts/1
2022/02/25 (14:06:49) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme

2022/03/07 (17:13:09) | ===> btop++ v.1.2.4
2022/03/07 (17:13:09) | INFO: Logger set to DEBUG
2022/03/07 (17:13:09) | DEBUG: Using locale en_US.UTF-8
2022/03/07 (17:13:09) | INFO: Running on /dev/pts/0
2022/03/07 (17:13:09) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme

2022/03/07 (20:06:53) | ===> btop++ v.1.2.5
2022/03/07 (20:06:53) | INFO: Logger set to DEBUG
2022/03/07 (20:06:53) | DEBUG: Using locale en_US.UTF-8
2022/03/07 (20:06:53) | INFO: Running on /dev/pts/1
2022/03/07 (20:06:53) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme

2022/03/08 (13:07:12) | ===> btop++ v.1.2.5
2022/03/08 (13:07:12) | INFO: Logger set to DEBUG
2022/03/08 (13:07:12) | DEBUG: Using locale en_US.UTF-8
2022/03/08 (13:07:12) | INFO: Running on /dev/pts/0
2022/03/08 (13:07:12) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme

2022/03/08 (16:25:46) | ===> btop++ v.1.2.5
2022/03/08 (16:25:46) | INFO: Logger set to DEBUG
2022/03/08 (16:25:46) | DEBUG: Using locale en_US.UTF-8
2022/03/08 (16:25:46) | INFO: Running on /dev/pts/0
2022/03/08 (16:25:46) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme
2022/03/08 (18:16:01) | DEBUG: Writing new config file
2022/03/08 (18:16:01) | INFO: Quitting! Runtime: 01:50:15

2022/03/08 (18:16:02) | ===> btop++ v.1.2.5
2022/03/08 (18:16:02) | INFO: Logger set to DEBUG
2022/03/08 (18:16:02) | DEBUG: Using locale en_US.UTF-8
2022/03/08 (18:16:02) | INFO: Running on /dev/pts/0
2022/03/08 (18:16:02) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/catppuccin.theme
2022/03/08 (18:16:33) | INFO: Quitting! Runtime: 00:00:31

2022/03/08 (18:16:35) | ===> btop++ v.1.2.5
2022/03/08 (18:16:35) | INFO: Logger set to DEBUG
2022/03/08 (18:16:35) | DEBUG: Using locale en_US.UTF-8
2022/03/08 (18:16:35) | INFO: Running on /dev/pts/0
2022/03/08 (18:16:35) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/paradise.theme

2022/03/20 (15:19:49) | ===> btop++ v.1.2.5
2022/03/20 (15:19:49) | INFO: Logger set to DEBUG
2022/03/20 (15:19:49) | DEBUG: Using locale en_US.UTF-8
2022/03/20 (15:19:49) | INFO: Running on /dev/pts/1
2022/03/20 (15:19:50) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/paradise.theme

2022/04/10 (14:14:39) | ===> btop++ v.1.2.5
2022/04/10 (14:14:39) | INFO: Logger set to DEBUG
2022/04/10 (14:14:39) | DEBUG: Using locale en_US.UTF-8
2022/04/10 (14:14:39) | INFO: Running on /dev/pts/0
2022/04/10 (14:14:39) | DEBUG: Loading theme file: /home/arvind/.config/btop/themes/paradise.theme
